Dialog,Language,Translation
1,unknown,"¡Bienvenido al Tesoro de Flappy Pi—donde Pi impulsa el progreso!"
2,unknown,"¡Tus aleteos ayudaron a llenar esta bóveda!"
3,unknown,"Esto no es solo una billetera… es nuestro futuro."
4,unknown,"¡Cada moneda aquí apoya el juego que amas!"
5,unknown,"Fondos del tesoro = ¡nuevas funciones más rápido!"
6,unknown,"Los cielos se construyen sobre reservas inteligentes."
7,unknown,"¿Quieres nuevos modos de juego? El Tesoro lo hace posible."
8,unknown,"¡Gracias a ti, volamos más fuerte cada día!"
9,unknown,"Una parte de cada Pi que gastas ayuda a que Flappy Pi crezca."
10,unknown,"El Tesoro es el corazón de nuestro ecosistema."
11,unknown,"¿Costos de servidor? ¿Corrección de errores? ¡Cubierto por esta bóveda!"
12,unknown,"Aquí es donde tu apoyo se convierte en mejoras."
13,unknown,"¡Desde aleteos hasta financiamiento, todo se conecta!"
14,unknown,"No eres solo un jugador—eres un constructor."
15,unknown,"Cuando ganas, todos ganamos. ¡Tesoro incluido!"
16,unknown,"Esta billetera alimenta a desarrolladores, diseñadores y magia del cielo."
17,unknown,"¡Piensa en esto como la sala de máquinas de Pi!"
18,unknown,"¿Quieres más torneos? ¡El Tesoro te tiene cubierto!"
19,unknown,"Usamos esto para recompensarte a TI, la comunidad."
20,unknown,"Monedas aquí = ¡cielos más fuertes y suaves!"
21,unknown,"Vuela con orgullo—estás financiando el futuro."
22,unknown,"Marketing, eventos, nuevos niveles… esto hace todo posible."
23,unknown,"La transparencia es clave. ¡Informes del Tesoro próximamente!"
24,unknown,"¡Creemos en cielos abiertos—y billeteras abiertas!"
25,unknown,"Las grandes mejoras comienzan con reservas inteligentes."
26,unknown,"¡Nuestra billetera del Tesoro es pública—revisa cuando quieras!"
27,unknown,"¡Tu apoyo = más premios y recompensas Pi!"
28,unknown,"¡Esta bóveda impulsa tablas de clasificación, eventos y diversión!"
29,unknown,"Invertimos cada Pi de vuelta en el juego."
30,unknown,"¿Quieres votar sobre funciones futuras? ¡Eso viene!"
31,unknown,"Estás volando en una economía impulsada por jugadores."
32,unknown,"Cada Pi aquí cuenta una historia de apoyo."
33,unknown,"Tus anuncios, compras y amor—almacenados aquí mismo."
34,unknown,"¡Gracias por mantener Flappy Pi sostenible!"
35,unknown,"Esto no son solo monedas—es esfuerzo comunitario."
36,unknown,"¡De plumas a fondos!"
37,unknown,"Estamos construyendo algo muy alto—juntos."
38,unknown,"Más jugadores = más Pi = más poder!"
39,unknown,"El futuro de Flappy vive aquí."
40,unknown,"¡Este es tu Tesoro también—gracias!"
41,unknown,"De toques a confianza, el ciclo continúa."
42,unknown,"Tesoro = poder para futuros campeones Pi!"
43,unknown,"¡Aletea fuerte, apoya inteligentemente!"
44,unknown,"Nuestro Pi se mantiene en movimiento—con tu ayuda."
45,unknown,"Somos más fuertes con cada Pi depositado aquí."
46,unknown,"¡Así es como se financia la diversión!"
47,unknown,"¡Construyamos un juego que dure para generaciones de aleteadores!"
48,unknown,"Esta bóveda es para desarrolladores, jugadores y pioneros."
49,unknown,"Tu juego alimenta la bandada."
50,unknown,"¡Nuestros cielos funcionan con apoyo—y has dado mucho!"
